epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,201.556,1.0337,1.98254,1.28248,0.69248,0.64089,0.68758,0.46477,0.90299,1.87833,1.29033,0.000473627,0.000473627,0.000473627
2,465.475,1.08525,1.43062,1.30887,0.5899,0.62815,0.60281,0.38023,0.98408,2.19812,1.37363,0.000940556,0.000940556,0.000940556
3,623.202,1.06947,1.27582,1.30945,0.62812,0.66794,0.66046,0.42732,0.99038,1.43287,1.31062,0.00139805,0.00139805,0.00139805
4,785.74,1.04709,1.1562,1.2981,0.72691,0.71266,0.73726,0.47562,0.94329,1.06434,1.25308,0.00138656,0.00138656,0.00138656
5,922.283,1.01461,1.08985,1.2737,0.65617,0.71064,0.70939,0.46464,0.9271,1.13725,1.24711,0.00137241,0.00137241,0.00137241
6,1086.66,0.99982,1.02648,1.26291,0.76142,0.75676,0.79926,0.54389,0.93146,0.94718,1.2841,0.00135826,0.00135826,0.00135826
7,1174.66,0.95562,0.98325,1.24256,0.76604,0.76545,0.82116,0.57131,0.85194,0.79994,1.17449,0.00134412,0.00134412,0.00134412
8,1277.41,0.96482,0.95987,1.23817,0.76436,0.77767,0.82796,0.58053,0.81713,0.81221,1.13218,0.00132997,0.00132997,0.00132997
9,1364.94,0.92644,0.92397,1.22922,0.76949,0.75587,0.81227,0.5576,0.82069,0.85657,1.14723,0.00131582,0.00131582,0.00131582
10,1476.06,0.93752,0.90824,1.23083,0.75385,0.74883,0.79474,0.54607,0.83479,0.92516,1.15907,0.00130168,0.00130168,0.00130168
11,1592.91,0.93548,0.896,1.22236,0.75778,0.78487,0.82046,0.56846,0.80414,0.87138,1.14501,0.00128753,0.00128753,0.00128753
12,1756.55,0.9196,0.88582,1.22562,0.76611,0.77049,0.83311,0.59247,0.79799,0.72259,1.1062,0.00127338,0.00127338,0.00127338
13,1896.11,0.91745,0.83978,1.19852,0.76385,0.7729,0.83097,0.58301,0.83547,0.79766,1.14661,0.00125923,0.00125923,0.00125923
14,2054.43,0.90748,0.82819,1.20073,0.79629,0.75679,0.83777,0.59544,0.77378,0.6927,1.09789,0.00124509,0.00124509,0.00124509
15,2215.27,0.89602,0.82922,1.19109,0.81475,0.79467,0.86254,0.62146,0.77353,0.65198,1.08812,0.00123094,0.00123094,0.00123094
16,2303.32,0.89423,0.81918,1.19534,0.81562,0.79275,0.86439,0.6223,0.75883,0.68836,1.09651,0.00121679,0.00121679,0.00121679
